lane	tile	row	col	rowshift	colshift
2	1609	1	1	0	0
2	1610	1	2	0	0
2	1611	1	3	0	0
2	1612	1	4	0	0
2	1613	1	5	0	0
2	1614	1	6	0	0
2	1615	1	7	0	0
2	1616	1	8	0	0
2	1617	1	9	0	0
2	1618	1	10	0	0
2	1509	2	1	0	0.1715
2	1510	2	2	0	0.1715
2	1511	2	3	0	0.1715
2	1512	2	4	0	0.1715
2	1513	2	5	0	0.1715
2	1514	2	6	0	0.1715
2	1515	2	7	0	0.1715
2	1516	2	8	0	0.1715
2	1517	2	9	0	0.1715
2	1518	2	10	0	0.1715
2	1409	3	1	0	0
2	1410	3	2	0	0
2	1411	3	3	0	0
2	1412	3	4	0	0
2	1413	3	5	0	0
2	1414	3	6	0	0
2	1415	3	7	0	0
2	1416	3	8	0	0
2	1417	3	9	0	0
2	1418	3	10	0	0
2	1309	4	1	0	0.1715
2	1310	4	2	0	0.1715
2	1311	4	3	0	0.1715
2	1312	4	4	0	0.1715
2	1313	4	5	0	0.1715
2	1314	4	6	0	0.1715
2	1315	4	7	0	0.1715
2	1316	4	8	0	0.1715
2	1317	4	9	0	0.1715
2	1318	4	10	0	0.1715
2	1209	5	1	0	0
2	1210	5	2	0	0
2	1211	5	3	0	0
2	1212	5	4	0	0
2	1213	5	5	0	0
2	1214	5	6	0	0
2	1215	5	7	0	0
2	1216	5	8	0	0
2	1217	5	9	0	0
2	1218	5	10	0	0
2	1109	6	1	0	0.1715
2	1110	6	2	0	0.1715
2	1111	6	3	0	0.1715
2	1112	6	4	0	0.1715
2	1113	6	5	0	0.1715
2	1114	6	6	0	0.1715
2	1115	6	7	0	0.1715
2	1116	6	8	0	0.1715
2	1117	6	9	0	0.1715
2	1118	6	10	0	0.1715
