lane	tile	row	col	rowshift	colshift
3	2635	1	1	0	0
3	2636	1	2	0	0
3	2637	1	3	0	0
3	2638	1	4	0	0
3	2639	1	5	0	0
3	2640	1	6	0	0
3	2641	1	7	0	0
3	2642	1	8	0	0
3	2643	1	9	0	0
3	2644	1	10	0	0
3	2535	2	1	0	0.1715
3	2536	2	2	0	0.1715
3	2537	2	3	0	0.1715
3	2538	2	4	0	0.1715
3	2539	2	5	0	0.1715
3	2540	2	6	0	0.1715
3	2541	2	7	0	0.1715
3	2542	2	8	0	0.1715
3	2543	2	9	0	0.1715
3	2544	2	10	0	0.1715
3	2435	3	1	0	0
3	2436	3	2	0	0
3	2437	3	3	0	0
3	2438	3	4	0	0
3	2439	3	5	0	0
3	2440	3	6	0	0
3	2441	3	7	0	0
3	2442	3	8	0	0
3	2443	3	9	0	0
3	2444	3	10	0	0
3	2335	4	1	0	0.1715
3	2336	4	2	0	0.1715
3	2337	4	3	0	0.1715
3	2338	4	4	0	0.1715
3	2339	4	5	0	0.1715
3	2340	4	6	0	0.1715
3	2341	4	7	0	0.1715
3	2342	4	8	0	0.1715
3	2343	4	9	0	0.1715
3	2344	4	10	0	0.1715
3	2235	5	1	0	0
3	2236	5	2	0	0
3	2237	5	3	0	0
3	2238	5	4	0	0
3	2239	5	5	0	0
3	2240	5	6	0	0
3	2241	5	7	0	0
3	2242	5	8	0	0
3	2243	5	9	0	0
3	2244	5	10	0	0
3	2135	6	1	0	0.1715
3	2136	6	2	0	0.1715
3	2137	6	3	0	0.1715
3	2138	6	4	0	0.1715
3	2139	6	5	0	0.1715
3	2140	6	6	0	0.1715
3	2141	6	7	0	0.1715
3	2142	6	8	0	0.1715
3	2143	6	9	0	0.1715
3	2144	6	10	0	0.1715
